"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"ಅಮಿತ್ ಶಾ","5K+","September 24, 2026 at 9:40:00 AM UTC+5:30","September 24, 2026 at 5:20:00 PM UTC+5:30","ಅಮಿತ್ ಶಾ","./explore?q=%E0%B2%85%E0%B2%AE%E0%B2%BF%E0%B2%A4%E0%B3%8D%20%E0%B2%B6%E0%B2%BE&geo=IN"
"दक्षिण अफ्रीका बनाम ऑस्ट्रेलिया","5K+","September 24, 2026 at 1:20:00 PM UTC+5:30","September 24, 2026 at 5:40:00 PM UTC+5:30","दक्षिण अफ्रीका बनाम ऑस्ट्रेलिया","./explore?q=%E0%A4%A6%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%A3%20%E0%A4%85%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%95%E0%A4%BE%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%91%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE&geo=IN"
"वेतन","5K+","September 24, 2026 at 12:50:00 PM UTC+5:30","September 24, 2026 at 4:50:00 PM UTC+5:30","वेतन","./explore?q=%E0%A4%B5%E0%A5%87%E0%A4%A4%E0%A4%A8&geo=IN"
"saudi arabia vs kuwait","5K+","September 23, 2026 at 11:10:00 PM UTC+5:30","September 24, 2026 at 8:00:00 AM UTC+5:30","saudi arabia vs kuwait","./explore?q=saudi%20arabia%20vs%20kuwait&geo=IN"
"fc barcelona femení vs paris fc (women) standings","5K+","September 24, 2026 at 3:00:00 AM UTC+5:30","September 24, 2026 at 9:30:00 AM UTC+5:30","fc barcelona femení vs paris fc (women) standings,barcelona vs paris fc","./explore?q=fc%20barcelona%20femen%C3%AD%20vs%20paris%20fc%20%28women%29%20standings&geo=IN"
"benjamin ito-davis","5K+","September 24, 2026 at 6:50:00 AM UTC+5:30","September 24, 2026 at 9:00:00 AM UTC+5:30","benjamin ito-davis,kendel kadowaki-fleming","./explore?q=benjamin%20ito-davis&geo=IN"
"dr congo vs equatorial guinea","2K+","September 24, 2026 at 9:10:00 PM UTC+5:30",,"dr congo vs equatorial guinea","./explore?q=dr%20congo%20vs%20equatorial%20guinea&geo=IN"
"ತೇಜಸ್ವಿ ಸೂರ್ಯ","2K+","September 24, 2026 at 8:10:00 PM UTC+5:30",,"ತೇಜಸ್ವಿ ಸೂರ್ಯ","./explore?q=%E0%B2%A4%E0%B3%87%E0%B2%9C%E0%B2%B8%E0%B3%8D%E0%B2%B5%E0%B2%BF%20%E0%B2%B8%E0%B3%82%E0%B2%B0%E0%B3%8D%E0%B2%AF&geo=IN"
"cec gyanesh kumar","2K+","September 24, 2026 at 7:20:00 PM UTC+5:30",,"cec gyanesh kumar,manoj tiwari","./explore?q=cec%20gyanesh%20kumar&geo=IN"
"പാമ്പ്","2K+","September 24, 2026 at 6:30:00 PM UTC+5:30",,"പാമ്പ്","./explore?q=%E0%B4%AA%E0%B4%BE%E0%B4%AE%E0%B5%8D%E0%B4%AA%E0%B5%8D&geo=IN"
